CSV-Export;Version: 1.01;Separator: Semicolon

;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009
;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:10;0: -----;43468.95;0: -------;25569.97;59.99;2: 208V;13270;12650.71;0;0;3: Waiting;0;2671;2001888353;20.69;208.77;210.18
06:15;0: -----;43468.95;0: -------;25569.97;59.99;2: 208V;13270.09;12650.71;0;0;3: Waiting;0;2671;2001888353;20.7;209;245.29
06:20;0: -----;43468.95;0: -------;25569.97;59.98;2: 208V;13270.17;12650.71;0;0;3: Waiting;0;2671;2001888353;20.7;209.32;280.39
06:25;0: -----;43468.95;0: -------;25569.97;59.97;2: 208V;13270.25;12650.74;0.01;0.04;7: Mpp;1.81;2675;2001888353;20.68;209.57;277.48
06:30;0: -----;43468.95;0: -------;25569.97;59.98;2: 208V;13270.34;12650.83;0.05;0.16;7: Mpp;11.25;2675;2001888353;20.95;209.25;254.08
06:35;0: -----;43468.96;0: -------;25569.97;59.97;2: 208V;13270.42;12650.91;0.16;0.26;7: Mpp;33.66;2675;2001888353;21.3;209.09;256.09
06:40;0: -----;43468.97;0: -------;25569.98;59.97;2: 208V;13270.5;12650.99;0.36;0.43;7: Mpp;74.23;2675;2001888353;21.67;209.11;255.82
06:45;0: -----;43468.98;0: -------;25569.99;59.99;2: 208V;13270.59;12651.08;0.57;0.6;7: Mpp;119.71;2675;2001888353;22;209.06;259.36
06:50;0: -----;43469.01;0: -------;25570.01;59.97;2: 208V;13270.67;12651.16;0.87;0.83;7: Mpp;180.73;2675;2001888353;22.28;209.08;264.05
06:55;0: -----;43469.04;0: -------;25570.03;60;2: 208V;13270.75;12651.24;1.15;1.03;7: Mpp;240.26;2675;2001888353;22.65;209.13;270.82
07:00;0: -----;43469.08;0: -------;25570.05;60;2: 208V;13270.84;12651.33;1.34;1.17;7: Mpp;280.54;2675;2001888353;23.19;209.47;275.77
07:05;0: -----;43469.13;0: -------;25570.08;59.98;2: 208V;13270.92;12651.41;1.53;1.33;7: Mpp;320.84;2675;2001888353;23.42;209.69;271.57
07:10;0: -----;43469.18;0: -------;25570.11;59.99;2: 208V;13271;12651.49;1.7;1.46;7: Mpp;358.52;2675;2001888353;23.79;210.68;274.88
07:15;0: -----;43469.24;0: -------;25570.14;59.99;2: 208V;13271.09;12651.58;1.85;1.56;7: Mpp;389.81;2675;2001888353;24.39;210.75;277.51
07:20;0: -----;43469.3;0: -------;25570.17;59.99;2: 208V;13271.17;12651.66;2;1.69;7: Mpp;422.07;2675;2001888353;24.55;210.66;274.66
07:25;0: -----;43469.36;0: -------;25570.21;59.99;2: 208V;13271.25;12651.74;2.15;1.78;7: Mpp;452.74;2675;2001888353;25.07;210.64;278.77
07:30;0: -----;43469.43;0: -------;25570.25;59.99;2: 208V;13271.34;12651.83;2.31;1.91;7: Mpp;486.45;2675;2001888353;25.34;210.36;277.07
07:35;0: -----;43469.51;0: -------;25570.3;60.01;2: 208V;13271.42;12651.91;2.62;2.12;7: Mpp;550.48;2675;2001888353;25.77;210.36;281.36
07:40;0: -----;43469.6;0: -------;25570.35;59.99;2: 208V;13271.5;12651.99;2.99;2.38;7: Mpp;628.3;2675;2001888353;26.44;210.25;283.11
07:45;0: -----;43469.69;0: -------;25570.41;59.98;2: 208V;13271.59;12652.08;3.22;2.53;7: Mpp;676.58;2675;2001888353;27;210.32;286.08
07:50;0: -----;43469.79;0: -------;25570.46;59.98;2: 208V;13271.67;12652.16;3.23;2.54;7: Mpp;679.38;2675;2001888353;27.38;210.24;285.54
07:55;0: -----;43469.89;0: -------;25570.52;59.99;2: 208V;13271.75;12652.24;3.33;2.64;7: Mpp;700.96;2675;2001888353;27.64;210.24;283.76
08:00;0: -----;43470;0: -------;25570.59;59.99;2: 208V;13271.84;12652.32;3.88;3.02;7: Mpp;815.89;2675;2001888353;28.38;210.26;286.32
08:05;0: -----;43470.14;0: -------;25570.67;60;2: 208V;13271.92;12652.41;4.63;3.56;7: Mpp;973.13;2675;2001888353;29.13;210.09;288.32
