TimeStep,VarDate,Pac,Temperature,Vac
06:15,2015-05-01,0,23.2,208.69
06:20,2015-05-01,0,23.2,208.51
06:25,2015-05-01,0.72,23.2,209.1
06:30,2015-05-01,11.59,23.27,209.13
06:35,2015-05-01,29.57,23.78,209.02
06:40,2015-05-01,57.61,23.86,208.93
06:45,2015-05-01,93.42,24.38,209.11
06:50,2015-05-01,132.48,24.5,209.32
06:55,2015-05-01,196.09,24.9,209.51
07:00,2015-05-01,171.71,25.1,209.35
07:05,2015-05-01,179.45,25.1,209.47
07:10,2015-05-01,140.13,25.1,209.12
07:15,2015-05-01,155.54,25.27,209.16
07:20,2015-05-01,200.84,25.7,209.19
07:25,2015-05-01,264.48,25.9,209.73
07:30,2015-05-01,283.92,26.39,209.65
07:35,2015-05-01,329.28,26.5,209.6
07:40,2015-05-01,349.76,26.96,209.54
07:45,2015-05-01,363.14,27,209.42
07:50,2015-05-01,412.31,27.32,209.4
07:55,2015-05-01,456.58,27.61,209.8
08:00,2015-05-01,491.3,28.16,210.13
08:05,2015-05-01,516.03,28.3,210.56
08:10,2015-05-01,541.23,28.84,211.23
08:15,2015-05-01,589.66,29.18,211.12
08:20,2015-05-01,584.59,29.48,210.77
08:25,2015-05-01,622.64,29.74,210.76
08:30,2015-05-01,735.19,30.37,211
08:35,2015-05-01,792.32,30.93,210.97
08:40,2015-05-01,809.49,31.4,210.76
08:45,2015-05-01,822.22,31.68,210.6
08:50,2015-05-01,872.42,32,210.65
08:55,2015-05-01,889,32.44,210.85
09:00,2015-05-01,970.58,32.89,210.65
09:05,2015-05-01,1020.07,33.32,210.35
09:10,2015-05-01,953.61,33.61,210.36
09:15,2015-05-01,1007.14,33.83,210.51
09:20,2015-05-01,1068.7,34.42,210.38
09:25,2015-05-01,1069.76,34.5,210.29
09:30,2015-05-01,1135.88,35.13,210.36
09:35,2015-05-01,1257.96,35.55,210.62
09:40,2015-05-01,1446.5,36.58,210.81
09:45,2015-05-01,1459.93,37.2,210.61
09:50,2015-05-01,1533.01,37.8,210.72
09:55,2015-05-01,1559.97,38.28,210.64
10:00,2015-05-01,1676.09,38.89,210.57
10:05,2015-05-01,1694.73,39.3,210.74
10:10,2015-05-01,1736.19,40.12,210.63
10:15,2015-05-01,1789.7,40.52,210.73
10:20,2015-05-01,1925.57,41.19,210.73
10:25,2015-05-01,2278.08,42.87,210.68
10:30,2015-05-01,2113.75,43.2,210.49
10:35,2015-05-01,2119.99,43.5,210.45
10:40,2015-05-01,2253.36,44.25,210.38
10:45,2015-05-01,2305.12,45.13,210.38
10:50,2015-05-01,2510.93,45.97,210.49
10:55,2015-05-01,2453.15,46.63,210.28
11:00,2015-05-01,2524.81,47.34,210.1
11:05,2015-05-01,2558.3,47.58,210.31
11:10,2015-05-01,2806.57,49.11,210.35
11:15,2015-05-01,2403.48,48.59,210.21
11:20,2015-05-01,2465.19,48.59,210.28
11:25,2015-05-01,2395.39,48.84,210.21
11:30,2015-05-01,2401.23,48.74,210.38
11:35,2015-05-01,2518.42,49.32,210.64
11:40,2015-05-01,2455.33,49.54,210.59
11:45,2015-05-01,2324,49.08,210.39
11:50,2015-05-01,2417.07,49.58,210.27
11:55,2015-05-01,2568.22,50.28,210.34
12:00,2015-05-01,2359.85,49.64,210.33
12:05,2015-05-01,2592.64,50.45,210.22
12:10,2015-05-01,2337.77,50.36,210.02
12:15,2015-05-01,2391.34,50.31,210.17
12:20,2015-05-01,2300.33,50.12,210.18
12:25,2015-05-01,2489.83,50.57,210.22
12:30,2015-05-01,2753.86,51.53,210.06
12:35,2015-05-01,2650.7,51.98,210.1
12:40,2015-05-01,2474.2,51.62,209.91
12:45,2015-05-01,2584.84,52.03,210.09
12:50,2015-05-01,2336.62,51.49,209.94
12:55,2015-05-01,2414.11,51.49,209.95
13:00,2015-05-01,2346.53,51.42,209.66
13:05,2015-05-01,2366.72,51.47,210.12
13:10,2015-05-01,2456.61,51.74,210.13
13:15,2015-05-01,2614.15,52.28,210.23
13:20,2015-05-01,2851.85,53.29,210.3
13:25,2015-05-01,2765.62,53.57,210.29
13:30,2015-05-01,2800.89,54.06,210.38
13:35,2015-05-01,2767.97,54.11,210.29
13:40,2015-05-01,2784.43,54.73,210.15
13:45,2015-05-01,2755.78,54.78,210.17
13:50,2015-05-01,2573.59,54.01,210.27
13:55,2015-05-01,2609.5,54.03,210.2
14:00,2015-05-01,2670.37,54.4,210.24
14:05,2015-05-01,3052.9,55.7,210.38
