CSV-Export;Version: 1.01;Separator: Semicolon

;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009
;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:20;0: -----;43417.51;0: -------;25539.71;59.97;2: 208V;13256.29;12637.7;0;0;3: Waiting;0;2670;2001888353;20.7;209.33;195
06:25;0: -----;43417.51;0: -------;25539.71;59.97;2: 208V;13256.37;12637.7;0;0;3: Waiting;0;2670;2001888353;20.7;209.15;215.61
06:30;0: -----;43417.51;0: -------;25539.71;59.96;2: 208V;13256.45;12637.7;0;0;3: Waiting;0;2670;2001888353;20.7;209.07;250.42
06:35;0: -----;43417.51;0: -------;25539.71;59.95;2: 208V;13256.53;12637.7;0;0;3: Waiting;0;2670;2001888353;20.7;209.04;271.66
06:40;0: -----;43417.51;0: -------;25539.71;59.98;2: 208V;13256.62;12637.7;0;0;2: Grid monitoring;0;2670;2001888353;20.7;208.99;292.16
06:45;0: -----;43417.51;0: -------;25539.71;59.98;2: 208V;13256.7;12637.77;0.04;0.13;7: Mpp;7.91;2671;2001888353;21.05;209.11;256.39
06:50;0: -----;43417.52;0: -------;25539.71;59.98;2: 208V;13256.78;12637.85;0.08;0.19;7: Mpp;16.96;2671;2001888353;21.36;208.95;254
06:55;0: -----;43417.52;0: -------;25539.72;60;2: 208V;13256.87;12637.94;0.19;0.28;7: Mpp;38.75;2671;2001888353;22;208.97;253.91
07:00;0: -----;43417.53;0: -------;25539.72;60;2: 208V;13256.95;12638.02;0.31;0.39;7: Mpp;65.09;2671;2001888353;21.99;208.82;254
07:05;0: -----;43417.54;0: -------;25539.73;60;2: 208V;13257.03;12638.1;0.44;0.5;7: Mpp;92.27;2671;2001888353;22.06;209.39;254.76
07:10;0: -----;43417.56;0: -------;25539.74;60.01;2: 208V;13257.12;12638.19;0.54;0.58;7: Mpp;113.85;2671;2001888353;22.55;211.07;258.27
07:15;0: -----;43417.58;0: -------;25539.75;60.01;2: 208V;13257.2;12638.27;0.66;0.68;7: Mpp;139.73;2671;2001888353;22.6;210.94;259.47
07:20;0: -----;43417.6;0: -------;25539.77;60.01;2: 208V;13257.29;12638.36;0.79;0.79;7: Mpp;166.38;2671;2001888353;22.96;210.91;259.47
07:25;0: -----;43417.63;0: -------;25539.78;60;2: 208V;13257.37;12638.44;0.89;0.86;7: Mpp;186.59;2671;2001888353;23.2;210.69;261.45
07:30;0: -----;43417.66;0: -------;25539.8;60;2: 208V;13257.45;12638.52;0.97;0.93;7: Mpp;204.39;2671;2001888353;23.25;210.69;259.45
07:35;0: -----;43417.69;0: -------;25539.82;60;2: 208V;13257.54;12638.61;1.07;1;7: Mpp;225.84;2671;2001888353;23.74;210.76;265
07:40;0: -----;43417.72;0: -------;25539.84;60;2: 208V;13257.62;12638.69;1.2;1.1;7: Mpp;251.86;2671;2001888353;23.8;210.59;263.54
07:45;0: -----;43417.76;0: -------;25539.86;60;2: 208V;13257.7;12638.77;1.3;1.18;7: Mpp;272.28;2671;2001888353;24.32;210.41;264.46
07:50;0: -----;43417.81;0: -------;25539.89;60;2: 208V;13257.79;12638.86;1.47;1.3;7: Mpp;309.7;2671;2001888353;24.5;210.26;268.24
07:55;0: -----;43417.86;0: -------;25539.91;60.01;2: 208V;13257.87;12638.94;1.6;1.41;7: Mpp;336.21;2671;2001888353;24.79;210.03;267.07
08:00;0: -----;43417.91;0: -------;25539.95;60;2: 208V;13257.95;12639.02;1.74;1.49;7: Mpp;364.19;2671;2001888353;25.1;210.01;273.03
08:05;0: -----;43417.96;0: -------;25539.98;60.01;2: 208V;13258.04;12639.11;1.9;1.61;7: Mpp;399.27;2671;2001888353;25.43;210.17;274.09
08:10;0: -----;43418.02;0: -------;25540.01;60.01;2: 208V;13258.12;12639.19;2.01;1.69;7: Mpp;422.01;2671;2001888353;25.7;210.2;274.11
08:15;0: -----;43418.09;0: -------;25540.05;60.01;2: 208V;13258.2;12639.27;2.14;1.81;7: Mpp;449.01;2671;2001888353;26.17;210.36;271.54
