CSV-Export;Version: 1.01;Separator: Semicolon

;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009
;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:15;0: -----;43287.06;0: -------;25462.97;59.97;2: 208V;13215.5;12598.42;0;0;3: Waiting;0;2665;2001888353;23.2;208.69;218
06:20;0: -----;43287.06;0: -------;25462.97;59.97;2: 208V;13215.58;12598.42;0;0;3: Waiting;0;2665;2001888353;23.2;208.51;260.81
06:25;0: -----;43287.06;0: -------;25462.97;59.96;2: 208V;13215.66;12598.43;0;0.01;7: Mpp;0.72;2667;2001888353;23.2;209.1;285.91
06:30;0: -----;43287.06;0: -------;25462.98;59.97;2: 208V;13215.75;12598.51;0.06;0.16;7: Mpp;11.59;2667;2001888353;23.27;209.13;253.56
06:35;0: -----;43287.06;0: -------;25462.98;59.97;2: 208V;13215.83;12598.6;0.14;0.24;7: Mpp;29.57;2667;2001888353;23.78;209.02;256.51
06:40;0: -----;43287.07;0: -------;25462.98;59.97;2: 208V;13215.91;12598.68;0.28;0.36;7: Mpp;57.61;2667;2001888353;23.86;208.93;255.95
06:45;0: -----;43287.08;0: -------;25462.99;59.96;2: 208V;13216;12598.76;0.45;0.5;7: Mpp;93.42;2667;2001888353;24.38;209.11;257.83
06:50;0: -----;43287.1;0: -------;25463;59.95;2: 208V;13216.08;12598.85;0.63;0.64;7: Mpp;132.48;2667;2001888353;24.5;209.32;263.99
06:55;0: -----;43287.13;0: -------;25463.02;59.97;2: 208V;13216.17;12598.93;0.94;0.86;7: Mpp;196.09;2667;2001888353;24.9;209.51;271.83
07:00;0: -----;43287.16;0: -------;25463.03;59.99;2: 208V;13216.25;12599.02;0.82;0.8;7: Mpp;171.71;2667;2001888353;25.1;209.35;261.7
07:05;0: -----;43287.18;0: -------;25463.05;59.98;2: 208V;13216.33;12599.1;0.86;0.83;7: Mpp;179.45;2667;2001888353;25.1;209.47;262.03
07:10;0: -----;43287.2;0: -------;25463.06;59.98;2: 208V;13216.42;12599.18;0.67;0.68;7: Mpp;140.13;2667;2001888353;25.1;209.12;258.05
07:15;0: -----;43287.22;0: -------;25463.07;59.99;2: 208V;13216.5;12599.27;0.74;0.74;7: Mpp;155.54;2667;2001888353;25.27;209.16;258.94
07:20;0: -----;43287.25;0: -------;25463.09;59.99;2: 208V;13216.58;12599.35;0.96;0.92;7: Mpp;200.84;2667;2001888353;25.7;209.19;259.85
07:25;0: -----;43287.29;0: -------;25463.11;59.99;2: 208V;13216.67;12599.43;1.26;1.14;7: Mpp;264.48;2667;2001888353;25.9;209.73;267.14
07:30;0: -----;43287.33;0: -------;25463.13;60;2: 208V;13216.75;12599.52;1.36;1.2;7: Mpp;283.92;2667;2001888353;26.39;209.65;268.86
07:35;0: -----;43287.38;0: -------;25463.16;60;2: 208V;13216.83;12599.6;1.57;1.36;7: Mpp;329.28;2667;2001888353;26.5;209.6;272.8
07:40;0: -----;43287.42;0: -------;25463.19;59.99;2: 208V;13216.92;12599.68;1.67;1.44;7: Mpp;349.76;2667;2001888353;26.96;209.54;271.8
07:45;0: -----;43287.47;0: -------;25463.22;60;2: 208V;13217;12599.76;1.73;1.5;7: Mpp;363.14;2667;2001888353;27;209.42;269.66
07:50;0: -----;43287.53;0: -------;25463.25;60.01;2: 208V;13217.08;12599.85;1.97;1.67;7: Mpp;412.31;2667;2001888353;27.32;209.4;272.08
07:55;0: -----;43287.6;0: -------;25463.29;60.01;2: 208V;13217.16;12599.93;2.18;1.82;7: Mpp;456.58;2667;2001888353;27.61;209.8;273.54
08:00;0: -----;43287.66;0: -------;25463.33;59.99;2: 208V;13217.25;12600.01;2.34;1.92;7: Mpp;491.3;2667;2001888353;28.16;210.13;278.54
08:05;0: -----;43287.74;0: -------;25463.38;59.99;2: 208V;13217.33;12600.1;2.45;2.01;7: Mpp;516.03;2667;2001888353;28.3;210.56;278.23
08:10;0: -----;43287.82;0: -------;25463.42;59.97;2: 208V;13217.41;12600.18;2.56;2.1;7: Mpp;541.23;2667;2001888353;28.84;211.23;279.41
